participant_id,language_proficiency,preferred_medium,team_role,interaction_frequency,time_in_team,change_in_medium_preference,collaboration_effectiveness
96,3,Text,Manager,7,9,1,8.830165794327863
97,5,Video,Team Member,22,9,0,4.482346332
98,2,Text,Team Member,5,35,1,8.668288721013125
99,2,Text,Team Member,46,1,1,1.3092655949485965
100,1,Text,Team Member,15,10,0,6.368544267685091
101,4,Video,Team Member,21,35,1,6.7870351483914675
102,1,Text,Manager,25,17,0,6.561706972864274
103,4,Voice,Team Member,17,13,0,4.470276180393436
104,2,Text,Team Member,7,6,0,6.839161100307959
105,1,Text,Team Member,19,32,0,2.3946310081659306
106,5,Voice,Team Member,7,11,1,5.958485944970862
107,3,Text,Team Member,40,17,0,5.542349244493292
108,4,Video,Manager,45,5,0,3.183395221304269
109,3,Text,Team Member,24,6,0,7.788638089812294
110,3,Text,Team Member,11,10,0,0.8087206545868098
111,1,Voice,Team Member,41,33,1,1.714396613
112,3,Text,Team Member,1,30,0,4.711500396194378
113,5,Video,Team Member,32,21,0,8.917366979250957
114,3,Text,Team Member,40,17,0,5.751595545279473
115,1,Text,Manager,44,27,0,8.420668509
116,5,Video,Team Member,2,3,0,5.175697191475933
117,2,Text,Manager,15,29,0,7.854559686109459
118,3,Text,Team Member,21,2,0,3.257973947456252
119,1,Voice,Team Member,24,29,1,8.151423172
120,2,Text,Team Member,17,34,0,4.016860705657688
121,2,Text,Team Member,47,1,1,5.5883116141185605
122,4,Video,Team Member,9,26,1,1.7588149153016097
123,5,Video,Team Member,35,1,1,9.204330241055565
124,3,Text,Team Member,20,4,0,7.014591194
125,1,Text,Team Member,19,14,1,8.588548191
126,4,Video,Team Member,18,18,1,2.0786290715543245
127,5,Video,Team Member,20,34,1,0.6768435526923644
128,4,Video,Team Member,30,1,0,3.3720926331101477
129,5,Video,Team Member,40,22,0,5.166853909549318
130,5,Video,Team Member,1,16,1,8.023698829590352
131,3,Text,Team Member,24,22,0,3.977264155060883
132,5,Video,Team Member,24,16,0,2.699583249010582
133,4,Video,Team Member,47,28,0,3.7254511241538046
134,5,Voice,Team Member,19,28,1,7.036074104611557
135,3,Voice,Team Member,30,22,0,3.3621809695101703
136,3,Voice,Team Member,26,6,1,9.791656263551417
137,4,Video,Team Member,42,25,0,1.7497908872073964
138,2,Text,Team Member,44,2,0,7.530961246340027
139,2,Voice,Team Member,38,7,0,5.891636123824232
140,5,Video,Team Member,29,17,0,2.3309560015654176
141,1,Text,Team Member,13,35,0,7.536136371406785
142,5,Voice,Team Member,4,20,0,4.475402105578512
143,4,Video,Team Member,45,2,0,6.823982755430203
144,4,Video,Team Member,17,7,0,6.6225724516464215
145,4,Video,Team Member,33,32,0,1.1064343324806625
146,4,Video,Team Member,5,19,0,8.399830248617473
147,4,Video,Team Member,28,12,0,6.814749063783189
148,3,Text,Team Member,24,9,0,7.805867126366647
149,2,Text,Team Member,17,27,0,4.477658349640688
150,4,Voice,Team Member,39,14,1,1.9506172170279656
151,1,Voice,Team Member,48,2,0,3.2621352374733146
152,1,Text,Manager,40,21,0,9.014692283942562
153,1,Voice,Team Member,44,4,0,9.380186018514284
154,1,Text,Team Member,46,21,0,4.818663985272877
155,3,Video,Team Member,11,22,0,2.987955751493941
156,1,Text,Team Member,12,2,0,7.303111241084977
157,4,Voice,Team Member,13,17,0,7.6599301026627495
158,5,Video,Team Member,8,19,0,8.154662974069144
159,1,Text,Team Member,1,24,0,0.31083810722495997
160,3,Voice,Team Member,9,20,0,0.097338724
161,3,Text,Team Member,28,12,0,3.571556282818525
162,1,Text,Team Member,2,25,0,1.524966177765098
163,5,Voice,Manager,14,23,1,8.049818585141145
164,1,Text,Team Member,13,34,0,5.328438535786423
165,3,Text,Manager,48,32,1,8.253481263617978
166,2,Text,Manager,2,24,0,1.7691307674413514
167,4,Voice,Team Member,4,25,1,6.272227088618277
168,3,Video,Team Member,12,3,0,5.801720908352732
169,1,Text,Team Member,48,25,0,3.4037830083926846
170,4,Video,Team Member,10,28,0,5.170813005577615
171,1,Text,Team Member,3,12,0,5.890275371247186
172,1,Text,Team Member,4,26,1,8.894878045358215
173,2,Text,Team Member,6,8,0,0.5563838475618399
174,4,Voice,Team Member,23,5,0,8.233738668247605
175,4,Voice,Team Member,5,11,0,9.801563892809474
176,2,Text,Team Member,3,35,0,7.317750581086325
177,3,Text,Team Member,10,27,0,7.373469822607904
178,1,Text,Manager,43,19,0,2.179742974400961
179,5,Video,Team Member,19,32,0,5.230732809491371
180,1,Text,Team Member,14,28,0,7.059403201832653
181,1,Voice,Team Member,21,18,1,6.022810043529202
182,3,Video,Team Member,43,10,1,3.8513160711678083
183,1,Text,Manager,28,32,0,9.401184100557549
184,2,Text,Manager,21,18,0,5.139867413878735
185,2,Text,Team Member,36,12,0,9.698758654355284
186,4,Voice,Manager,24,8,0,5.638756815
187,5,Voice,Team Member,38,33,1,7.933834466829276
188,1,Text,Team Member,17,14,0,7.4202310315382025
189,1,Text,Team Member,22,2,0,6.608237751929265
190,3,Text,Manager,19,9,0,0.14460845753810903
191,2,Text,Team Member,45,5,1,0.7742915050030497
192,5,Video,Team Member,10,34,1,5.814842882046417
193,4,Video,Manager,11,19,1,9.117814217352834
194,2,Text,Team Member,38,7,0,6.011416668628447
195,4,Video,Team Member,2,17,0,2.3599599583783224
196,3,Voice,Team Member,33,26,1,3.2021840161554707
197,3,Text,Team Member,43,27,0,6.231598740802719
198,1,Text,Manager,31,28,0,5.970544656150173
199,5,Voice,Team Member,48,20,0,9.557029102151047
200,4,Video,Team Member,35,6,0,5.29084564
201,2,Voice,Team Member,37,8,0,3.550148819732395
202,3,Video,Manager,47,32,1,5.249927567414182
203,1,Text,Team Member,47,19,0,7.862339832708018
204,1,Text,Team Member,36,32,1,5.403638057838767
205,4,Video,Team Member,23,19,1,3.2605255028771385
206,3,Text,Manager,36,24,1,3.3862105110507845
207,5,Video,Team Member,40,24,0,7.568118192423505
208,3,Text,Team Member,39,17,0,0.6644827686128185
209,4,Voice,Team Member,26,18,1,2.7475527617451236
210,4,Voice,Team Member,25,12,0,1.530375904085416
211,3,Video,Team Member,17,23,0,9.446756331972313
212,4,Video,Team Member,15,18,0,0.9009426316817848
213,3,Text,Team Member,37,16,0,7.581836095962567
214,2,Text,Team Member,45,16,0,6.304255694691703
215,3,Text,Team Member,4,23,0,6.328044006709712
216,3,Text,Manager,22,22,0,7.634330271
217,4,Video,Team Member,17,33,0,4.004879720737935
218,4,Voice,Team Member,22,24,1,4.00743365
219,1,Text,Team Member,17,20,0,2.887057822374557
220,1,Text,Team Member,14,33,0,5.9775003688566075
221,2,Text,Team Member,14,31,1,9.298052521102582
222,1,Text,Team Member,17,8,0,9.239831993909313
223,3,Voice,Manager,8,10,1,7.0296067218138525
224,4,Video,Team Member,34,1,0,9.061857710330502
225,1,Text,Manager,26,21,1,9.635188283557683
226,1,Text,Team Member,45,25,0,7.951049430027913
227,2,Text,Team Member,30,32,0,4.078333289433463
228,2,Text,Team Member,22,10,0,4.832249663317051
229,3,Voice,Team Member,16,9,0,9.312569200955986
230,4,Video,Manager,30,20,0,6.700080752747103
231,2,Text,Manager,16,20,1,8.206939611861753
232,1,Text,Team Member,38,7,0,1.1611403574541779
233,4,Video,Team Member,24,11,1,1.9390141509064418
234,4,Video,Team Member,36,21,0,3.4410846732296885
235,1,Text,Team Member,35,19,0,1.882406555595525
236,2,Text,Team Member,6,15,1,9.064650646515402
237,1,Text,Team Member,4,6,1,2.1689054699747166
238,4,Video,Team Member,18,10,0,5.571837143304961
239,5,Video,Team Member,6,16,1,0.8545387014947703
240,5,Video,Team Member,26,11,0,1.5496184652386868
241,3,Voice,Team Member,37,35,0,2.4741513497120495
242,1,Text,Manager,27,8,0,9.828934014843862
243,1,Text,Team Member,41,28,1,7.970637570039121
244,3,Video,Team Member,11,3,1,6.735550588
245,3,Text,Team Member,38,2,0,9.162619838498019
246,3,Text,Team Member,16,14,1,9.562086593676147
247,4,Video,Manager,19,29,1,4.535729142787492
248,1,Voice,Manager,43,3,0,3.276894494
249,4,Video,Team Member,15,1,0,3.1531532685427424
250,3,Text,Team Member,26,15,0,0.35729102081448527
251,1,Voice,Team Member,41,20,0,2.7963809372633786
252,4,Video,Team Member,31,22,1,3.550459671937439
253,4,Video,Team Member,19,34,0,0.3689883944873362
254,3,Text,Team Member,24,33,0,8.826048156188959
255,1,Text,Team Member,9,9,0,8.478567357997436
256,3,Video,Team Member,23,3,1,2.5150091993440284
257,1,Text,Team Member,4,2,0,8.025589003095854
258,5,Voice,Team Member,10,4,0,7.962118790817144
259,2,Text,Manager,9,16,0,3.350127597350505
260,2,Text,Team Member,19,33,0,6.970680386310942
261,2,Text,Manager,15,9,1,2.8985783803013443
262,3,Text,Team Member,34,18,0,0.7027623588769993
263,5,Video,Team Member,42,16,0,5.047978339289786
264,1,Text,Team Member,19,8,0,4.383270408790593
265,4,Voice,Team Member,49,23,0,1.3815291451937894
266,1,Text,Team Member,21,3,1,4.905533369900844
267,4,Video,Team Member,34,15,0,9.493757457569163
268,1,Text,Manager,17,33,1,7.313931471891301
269,5,Voice,Team Member,18,18,0,7.388723099457941
270,4,Video,Manager,17,23,0,7.575507950822903
271,3,Text,Team Member,2,3,1,7.446338072685457
272,1,Text,Team Member,1,30,0,0.19901435400606737
273,1,Text,Team Member,43,17,0,9.246909356939316
274,4,Video,Team Member,10,32,1,8.301377644387733
275,3,Voice,Team Member,37,7,1,2.7457940743300266
276,3,Text,Manager,48,14,0,5.527435048366303
277,5,Voice,Team Member,5,15,0,6.150059299531671
278,3,Text,Team Member,12,12,0,1.3194502911624506
279,3,Video,Manager,36,8,1,2.5396337685712744
280,3,Video,Team Member,31,16,0,0.2325043528415205
281,2,Text,Team Member,38,34,1,8.639517200542654
282,5,Video,Team Member,9,24,0,0.24905069746200437
283,1,Text,Team Member,44,29,0,3.1869583786086695
284,4,Video,Team Member,26,16,0,0.782464929
285,1,Text,Team Member,15,5,0,7.814059261710522
286,5,Video,Team Member,16,5,0,9.249827730711878
287,4,Video,Team Member,13,30,0,5.628156198177924
288,5,Video,Team Member,25,5,1,1.3956681730832166
289,3,Text,Manager,30,13,0,5.581608582861016
290,4,Voice,Manager,7,35,0,7.7034123945267865
291,3,Text,Team Member,4,25,1,7.184162052263005
292,1,Text,Team Member,43,14,1,7.417190058665551
293,1,Voice,Team Member,40,26,0,2.791738425534777
294,4,Video,Manager,38,18,1,0.7373752258424227
295,4,Video,Team Member,30,20,0,1.4896363854845018
296,5,Video,Team Member,10,34,0,9.555064850789407
297,5,Video,Team Member,30,7,1,6.1351398709598115
298,3,Voice,Team Member,39,10,1,7.2789960586392555
299,4,Video,Team Member,7,15,1,8.990645918
300,1,Voice,Team Member,36,17,1,8.527545666
301,5,Video,Team Member,35,11,0,2.1840184971911905
302,5,Voice,Team Member,24,34,0,0.5806004460875369
303,1,Text,Team Member,39,27,0,9.251282008634586
304,5,Video,Team Member,36,21,0,9.816682926
305,3,Text,Team Member,45,31,0,5.673441935139753
306,4,Video,Team Member,20,4,0,8.884019148377796
307,1,Text,Team Member,49,17,1,2.3181604971475336
308,4,Video,Team Member,32,20,1,1.1103870458985132
309,5,Video,Team Member,39,25,0,4.998169374
310,5,Video,Manager,49,23,0,8.111834195
311,1,Text,Team Member,26,15,1,6.546536232403324
312,3,Video,Team Member,26,33,0,6.373201681437654
313,2,Text,Team Member,36,19,1,0.1745890822516616
314,1,Text,Team Member,43,15,0,3.1749289236509126
315,2,Text,Team Member,35,5,0,9.394957865224814
316,2,Voice,Manager,43,16,1,1.3427353951692345
317,3,Text,Team Member,35,32,1,7.2636594518715425
318,2,Text,Team Member,12,22,0,7.593111538080446
319,2,Text,Manager,33,32,0,7.328332431922887
320,3,Voice,Team Member,36,13,1,9.892848941001764
321,2,Text,Team Member,14,26,0,4.092082113519248
322,2,Text,Team Member,33,17,1,6.821933922090193
323,2,Voice,Team Member,46,5,0,1.9365511338380237
324,1,Text,Team Member,45,33,0,3.9970991587108795
325,1,Text,Team Member,45,27,0,4.9156060243312645
326,1,Text,Manager,24,5,0,2.1482754110002555
327,3,Voice,Team Member,15,7,0,9.068107423588597
328,5,Video,Team Member,31,18,0,7.1619783046736245
329,2,Text,Team Member,17,31,0,2.8375776809249476
330,2,Text,Team Member,12,6,0,1.3495643929759427
331,3,Voice,Team Member,22,2,0,2.8786732842250773
332,2,Voice,Team Member,23,13,0,6.229853822430844
333,1,Text,Team Member,26,11,1,8.264086383102857
334,5,Voice,Team Member,14,26,0,5.031682570551604
335,4,Voice,Manager,12,21,0,1.0249467350451402
336,2,Voice,Team Member,4,2,0,2.4931486641109024
337,1,Text,Team Member,46,20,1,3.4514391938955233
338,4,Voice,Team Member,13,17,0,6.361362537110267
339,5,Video,Team Member,18,16,0,2.4664337536167524
340,4,Video,Team Member,43,5,0,2.3392839265389185
341,1,Text,Team Member,28,14,1,2.8620186862119423
342,4,Video,Team Member,38,24,1,5.925290445
343,3,Text,Team Member,41,4,0,4.9263028394216715
344,4,Voice,Team Member,44,24,0,8.416359533024409
345,2,Voice,Team Member,19,9,0,6.9793231441331285
346,2,Voice,Team Member,46,3,0,6.668218719563306
347,3,Voice,Team Member,47,9,1,1.5465006200461362
348,1,Voice,Team Member,43,18,0,0.5522779861218574
349,2,Text,Team Member,38,19,0,5.099988645592716
350,5,Video,Team Member,46,24,0,0.7164166537153616
351,2,Text,Team Member,3,4,0,3.6401791592633637
352,2,Text,Team Member,19,9,0,0.261123484
353,1,Text,Team Member,20,33,1,1.7680897662985118
354,4,Video,Team Member,25,1,0,1.1036786868922732
355,2,Text,Manager,11,35,0,8.009850039758748
356,3,Text,Team Member,17,10,0,3.4612615256615364
357,4,Video,Team Member,49,12,0,0.7884651827199662
358,5,Video,Team Member,35,18,0,2.654802045396792
359,1,Text,Team Member,14,14,0,6.828080860699092
360,5,Video,Team Member,39,10,0,7.456352721723555
361,4,Video,Manager,19,10,1,1.1986512984952136
362,4,Video,Team Member,3,18,0,7.785664399339335
363,4,Voice,Team Member,34,24,0,3.705591582170781
364,5,Video,Team Member,49,1,0,6.793826689350033
365,4,Video,Manager,41,30,0,6.7150778929694415
366,5,Video,Team Member,22,15,0,7.935927210776393
367,4,Video,Team Member,38,8,0,6.971827803090463
368,3,Voice,Manager,27,35,0,0.38868356672500215
369,4,Video,Team Member,21,18,1,5.1948111088954825
370,5,Video,Team Member,41,16,0,1.6618117347097183
371,2,Text,Team Member,31,21,0,9.699645374926902
372,4,Video,Team Member,27,15,1,2.5583453851109783
373,2,Text,Team Member,37,5,0,4.201073512692232
374,3,Voice,Manager,2,7,0,1.9670215177343742
375,1,Text,Team Member,47,7,0,1.3458913381796322
376,3,Voice,Team Member,9,27,1,6.009296006037102
377,4,Voice,Team Member,19,25,0,4.931796487415206
378,2,Text,Team Member,42,22,0,3.746597341030413
379,2,Voice,Team Member,36,13,1,0.854190222
380,5,Video,Team Member,10,17,0,7.3595936466856795
381,2,Text,Team Member,40,13,1,0.058562979
382,5,Voice,Manager,45,26,1,4.576615883293184
383,1,Text,Manager,39,9,0,6.325719807953342
384,4,Voice,Team Member,7,5,1,4.307108356093469
385,5,Video,Manager,4,33,1,1.2620898391119417
386,1,Text,Team Member,15,4,1,7.782498862
387,2,Voice,Team Member,12,28,0,3.239439523036217
388,2,Voice,Team Member,48,26,1,1.3475555118193305
389,1,Text,Team Member,6,4,0,5.502658147464038
390,2,Text,Team Member,9,16,1,0.1917155756401523
391,1,Text,Manager,35,22,0,3.2406369074494448
392,5,Voice,Team Member,8,35,0,7.506423695934011
393,5,Voice,Team Member,7,25,0,9.127113293641745
394,1,Text,Team Member,4,8,0,5.917274594
395,5,Video,Team Member,13,17,0,2.176115853972819
396,5,Voice,Team Member,19,18,0,2.2000015071414647
397,5,Voice,Team Member,7,12,0,6.0387166421239735
398,3,Text,Team Member,10,33,0,4.067617068387297
399,4,Voice,Team Member,25,23,0,1.7726429877590355
400,2,Text,Team Member,44,12,0,7.873970396737205
401,3,Text,Team Member,35,11,1,2.002430365012305
402,5,Video,Team Member,25,13,0,3.2164083464839854
403,1,Text,Team Member,29,35,0,0.6142943877810425
404,5,Voice,Team Member,12,27,0,7.013721131
405,4,Video,Team Member,47,25,1,2.7527792760214718
406,5,Video,Manager,40,3,0,2.328669623483411
407,1,Text,Manager,12,25,0,3.0335828602225345
408,4,Voice,Team Member,6,10,0,8.74130533
409,5,Voice,Team Member,10,17,1,5.1801857047283075
410,4,Video,Manager,2,3,0,1.578847298671966
411,2,Text,Team Member,45,22,1,7.744808872846787
412,2,Text,Team Member,25,14,0,2.084532456294853
413,5,Video,Team Member,7,27,1,4.124761481895734
414,4,Voice,Team Member,40,20,0,5.680758192478618
415,1,Text,Manager,23,18,0,5.844429147
416,5,Voice,Team Member,48,13,0,0.6903211650727137
417,2,Voice,Team Member,11,6,1,8.368044917030428
418,2,Text,Team Member,36,10,0,4.794307599378621
419,5,Video,Manager,49,29,0,9.892606997178927
420,4,Video,Team Member,48,6,1,7.174424079475922
421,2,Text,Manager,23,11,0,9.925689042839181
422,4,Voice,Team Member,43,25,0,4.534752480651095
423,2,Text,Team Member,7,30,0,1.407814072
424,2,Text,Manager,27,20,0,7.2730937702964695
425,3,Text,Team Member,13,16,0,7.777602824831163
426,2,Voice,Manager,17,31,1,8.528352678824957
427,1,Text,Team Member,32,29,0,3.014490256063107
428,5,Voice,Team Member,26,6,1,5.1068398411532705
429,5,Video,Team Member,22,29,0,8.575055734
430,4,Video,Team Member,13,32,0,8.647362366
431,2,Voice,Team Member,12,9,0,0.2568384305614091
432,1,Voice,Team Member,7,23,0,6.709167840534915
433,4,Voice,Team Member,1,16,0,6.016873495707818
434,3,Voice,Team Member,33,18,1,0.8333777736120584
435,4,Voice,Team Member,14,19,1,9.301360795119596
436,4,Video,Team Member,47,2,0,4.453722938425705
437,2,Text,Team Member,43,10,0,6.742577101274053
438,3,Text,Team Member,41,12,0,8.827977955031157
439,4,Voice,Team Member,17,18,1,1.3012107086388502
440,1,Text,Team Member,4,19,0,8.558431435
441,1,Voice,Team Member,39,27,1,7.243056297311568
442,5,Voice,Manager,1,14,0,8.395923219571594
443,3,Text,Team Member,41,34,1,4.948357051738705
444,3,Video,Team Member,45,2,0,0.3348485353774455
445,5,Video,Team Member,24,33,0,6.705158437106319
446,4,Video,Team Member,34,19,1,3.7453242842017467
447,3,Text,Team Member,34,27,1,4.024158343628837
448,1,Voice,Team Member,24,30,0,4.412622015063806
449,1,Voice,Manager,15,7,0,4.929096357818176
450,2,Voice,Team Member,17,27,0,6.619342325659368
451,3,Video,Manager,13,21,0,7.2677567625187445
452,4,Video,Manager,7,7,0,7.768422863616253
453,5,Video,Team Member,9,25,0,6.716061911014716
454,5,Video,Team Member,44,18,1,8.034794199207436
455,4,Voice,Team Member,35,33,0,1.2214920789060113
456,2,Text,Manager,23,33,0,8.368176661978396
457,5,Voice,Team Member,47,32,0,3.872790871594601
458,3,Voice,Team Member,39,25,0,5.287766757639803
459,2,Text,Team Member,23,14,0,4.337794005
460,3,Voice,Team Member,26,4,0,4.757172044082054
461,1,Text,Team Member,1,18,0,2.854276851244734
462,2,Text,Team Member,14,10,1,1.6995091079967273
463,5,Voice,Manager,32,35,1,1.048947330432719
464,2,Text,Manager,48,35,0,4.513988390680675
465,2,Text,Team Member,10,23,0,1.2526099655193867
466,2,Text,Team Member,1,25,1,2.4498847254794045
467,2,Voice,Team Member,5,1,0,1.336158856261651
468,3,Text,Team Member,3,18,1,1.0912123157528986
469,1,Text,Team Member,49,15,1,8.824611478477513
470,4,Video,Team Member,27,25,0,6.740259530086843
471,2,Text,Team Member,22,32,0,9.237591118689178
472,5,Video,Manager,18,20,1,6.440121582329111
473,2,Text,Team Member,16,17,1,8.439510240338473
474,5,Voice,Team Member,2,11,1,5.552985892696398
475,3,Voice,Team Member,47,13,0,4.626300506752249
476,5,Voice,Team Member,13,25,1,5.284774010033971
477,4,Video,Team Member,45,20,0,3.2022549447677493
478,1,Text,Team Member,16,25,0,6.579723909937913
479,5,Voice,Team Member,8,31,0,8.971749017
480,5,Video,Team Member,43,1,1,7.823534464877903
481,1,Text,Team Member,8,16,1,4.620000107372854
482,4,Video,Team Member,10,28,1,9.539190858269809
483,2,Voice,Team Member,33,21,0,9.854230941181097
484,5,Voice,Team Member,31,30,0,4.931006097302003
485,1,Text,Team Member,12,3,1,8.646398413127812
486,3,Text,Team Member,9,34,0,0.047702561781248765
487,1,Text,Team Member,37,6,1,0.6665559174667346
488,3,Text,Team Member,9,29,0,0.22389408928777943
489,4,Voice,Team Member,48,3,1,7.731629973476213
490,2,Text,Manager,18,33,1,0.7977911144323491
491,1,Text,Manager,30,11,0,0.1705054606417855
492,5,Voice,Team Member,32,5,0,1.4741877335525955
493,4,Voice,Team Member,40,32,0,3.0629479129854364
494,1,Text,Team Member,23,18,1,4.647006818974569
495,5,Video,Team Member,11,20,0,0.6540328471611712
496,1,Text,Team Member,20,28,1,4.989822335509235
497,3,Text,Manager,19,13,0,2.4806146104460036
498,1,Text,Manager,36,26,1,2.743714950976223
499,1,Text,Manager,26,16,0,8.219022516
500,1,Text,Team Member,10,25,0,9.869235760523383
501,4,Voice,Team Member,24,10,1,4.638640292616176
502,1,Text,Manager,13,29,0,3.2177069515449643
503,5,Video,Team Member,46,20,0,9.314481761595687
504,3,Voice,Manager,34,26,0,5.0044844646631645
505,3,Voice,Team Member,29,32,0,7.303535711807213
506,1,Text,Team Member,36,24,0,4.137400309598838
507,4,Video,Team Member,7,31,0,2.025485776581595
508,4,Video,Team Member,30,12,1,6.548851125676257
509,5,Video,Team Member,17,10,0,6.648426495367198
510,1,Voice,Team Member,48,6,0,4.601838500789507
511,3,Voice,Team Member,13,7,0,2.6994963508083636
512,4,Voice,Team Member,24,31,1,8.318134920627488
513,1,Text,Team Member,31,27,0,2.7531812438557735
514,4,Voice,Team Member,27,8,1,6.5902398626679215
515,4,Video,Team Member,21,3,0,3.8398562389269673
516,3,Text,Team Member,44,21,0,4.724806779377294
517,2,Text,Manager,1,1,0,2.1140266150047204
518,5,Voice,Team Member,15,15,0,6.494799454793653
519,5,Voice,Team Member,3,7,1,2.2582583361918482
520,3,Video,Manager,6,15,0,4.857140466076136
521,4,Video,Team Member,14,25,0,3.284593931464067
522,1,Text,Team Member,38,3,0,9.636057327846215
523,4,Voice,Manager,33,30,0,9.822210958935475
524,3,Voice,Team Member,38,14,1,7.5349130733804355
525,5,Voice,Team Member,8,4,0,9.839174948547724
526,4,Video,Manager,26,3,0,1.1355064280773808
527,5,Voice,Team Member,15,5,0,9.923246540134492
528,1,Text,Team Member,14,25,0,1.0355591637084416
